title,start_year,end_year,genre,rating,votes,plot_summary,run_time,gross,production_type,actors,director
Rádio Coisa Mais Linda,2020,,,,,,,,,"['Maria Casadevall', 'Pathy Dejesus', 'Mel Lisboa', 'Larissa Nunes']",['Caito Ortiz']
Colin in Black & White,2021,Ongoing,"['Biography', 'Drama', 'Sport']",,,,,,Series,"['Mary-Louise Parker', 'Nick Offerman', 'Ron Roggé', 'Jaden Michael']",
Colin in Black & White,2021,Ongoing,"['Biography', 'Drama', 'Sport']",,,,,,Series,"['Mace Coronel', 'Jacob Buster', 'Ron Roggé', 'Jaden Michael']",
Colin in Black & White,2021,Ongoing,"['Biography', 'Drama', 'Sport']",,,,,,Series,"['Mace Coronel', 'Jaden Michael', ""Chris O'Neal"", 'Morgan Peter Brown']",
Colin in Black & White,2021,Ongoing,"['Biography', 'Drama', 'Sport']",,,,,,Series,"['Mace Coronel', 'Jacob Buster', 'Jaden Michael', 'Amarr M. Wooten']",
Colin in Black & White,2021,Ongoing,"['Biography', 'Drama', 'Sport']",,,,,,Series,"['Mace Coronel', 'Olivia Sanabia', 'Jaden Michael', 'Amarr M. Wooten']",
Colin in Black & White,2021,Ongoing,"['Biography', 'Drama', 'Sport']",,,,,,Series,"['Anna McKitrick', 'Jaden Michael', 'Amarr M. Wooten', 'Lauren Elyse Buckley']",
Hit and Run,2021,Ongoing,"['Action', 'Crime', 'Drama']",,,,,,Series,"['Sanaa Lathan', 'Gregg Henry', 'Lior Raz', 'Kaelen Ohm']",['Neasa Hardiman']
Family Business,2019,Ongoing,['Comedy'],7.6,57,A year on and the family are still in business supplying weed. Aïda has triplets but is not entirely happy with Joseph and Gérard is trying to kick the dope habit and is making new friends. Joseph breaks some news to Jaurés.,,,Series,"['Jonathan Cohen', 'Gérard Darmon', 'Julia Piaton', 'Liliane Rovère']",['Igor Gotesman']
Never Have I Ever,2020,Ongoing,['Comedy'],7.8,450,"Ahead of their impeding move to India, Devi faces her first-ever love triangle, while Nalini tries to sell her patient roster to a flashy competitor.",,,Series,"['Maitreyi Ramakrishnan', 'Richa Moorjani', 'Jaren Lewison', 'Darren Barnet']",['Kabir Akhtar']
Snabba Cash,2021,Ongoing,"['Action', 'Crime', 'Drama']",7.3,156,"The lives of an ambitious businesswoman, a charming mobster and a troubled teenager find themselves on a frantic quest with only one goal: to make money.",51,,Series,"['Evin Ahmad', 'Alexander Abdallah', 'Ayaan Ahmed', 'Ali Alarik']",['Jesper Ganslandt']
Ju-on: Origins,2020,,"['Drama', 'Horror', 'Mystery']",6.7,314,Things change for Kiyomi and her attackers after the incident at the abandoned house. Tetsuya's psychic mother reaches out to Haruka.,30,,,"['Yoshiyoshi Arakawa', 'Yuina Kuroshima', 'Ririka', 'Koki Osamura']",['Shô Miyake']
Ju-on: Origins,2020,,"['Drama', 'Horror', 'Mystery']",6.5,290,"Kiyomi is now a mother, but her hard life takes a turn for the worse. Through it all, she continues to have visions of the woman in white.",29,,,"['Yoshiyoshi Arakawa', 'Yuina Kuroshima', 'Ririka', 'Koki Osamura']",['Shô Miyake']
Ju-on: Origins,2020,,"['Drama', 'Horror', 'Mystery']",7.4,292,"His obsessive search for the cursed house leads Yasuo to ""M,"" an incarcerated child killer. A pregnant woman incurs her husband's wrath.",27,,,"['Yoshiyoshi Arakawa', 'Yuina Kuroshima', 'Koki Osamura', 'Ryushin Tei']",['Shô Miyake']
Ju-on: Origins,2020,,"['Drama', 'Horror', 'Mystery']",6.9,266,"Yasuo realizes that he has a deep connection to the cursed house. After seeing her in a vision, he goes out in search of Kiyomi.",31,,,"['Yoshiyoshi Arakawa', 'Yuina Kuroshima', 'Ririka', 'Koki Osamura']",['Shô Miyake']
Ju-on: Origins,2020,,"['Drama', 'Horror', 'Mystery']",6.4,265,"A young couple expecting a child moves into the house. To get answers, Yasuo, Haruka and Michiko all pay a visit to the cursed home.",26,,,"['Yoshiyoshi Arakawa', 'Yuina Kuroshima', 'Ryushin Tei', 'Yûya Matsuura']",['Shô Miyake']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.7,16,"Baris and Dilara battle Furkan and Yagmur in the final round, and the losers contend with the crabby consequences.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.3,16,The contestants swap teams. Will the White Team break their losing streak - or face another unsavory penalty?,,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.8,16,"After a muddy obstacle course, the Black Team grapple with low morale, and Walter makes a stomach-churning concoction.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",5.4,21,"The two teams race to the finish line in another challenge. Later, one team will have to eat bananas from a pile of cockroaches.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.1,16,The contestants compete in Exaball and face their most grueling penalty yet: drinking juice from a box of spiders.,,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.2,14,"Hayrettin returns to Team Black, Dilara becomes Team White's leader, and a worm-eating challenge looms.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.7,15,"After a heart-thumping course, one group must take on pythons. The Black Team discuss their performance with Oguzhan Ugur.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",5.2,16,Öykü and Dilara struggle during a parkour on the water and cause a rift among the contestants. Walter brings in a tank of jumpy toads.,,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.8,14,"The contenders test their aim on a new course, and Aleyna makes a magnanimous move. Then the losers dip their heads into a tank full of raw eggs.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.3,13,"Two players switch teams. A heated race pits Furkan against Uras. Team Black enjoys the villa, and a surprise awaits.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.7,14,The competitors endure a long and difficult race. Oguzhan asks Öykü about her conversation with Yagmur. Dilara loses patience with her teammates.,,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.8,14,The contenders spin a wheel to determine their respective punishments. Who will have luck on their side?,,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",5.8,16,"In a final elimination challenge, the contestants vie for a champion cup and a cash prize in a series of demanding courses.",,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Exatlon Challenge,2020,Ongoing,"['Game-Show', 'Reality-TV', 'Sport']",4.5,14,Orkun declares a rematch in the last competition between the teams. The losing group has to serve dinner to the winners at the villa.,,,Series,"['Dilan Ay', 'Dilara Aydin', 'Uras Benlioglu', 'Öykü Berkan']",['Mustafa Kazan']
Cyberpunk: Edgerunners,2022,Ongoing,"['Animation', 'Action', 'Adventure']",,,,,,Series,,
Alta mar,2019,2020,"['Crime', 'Drama', 'Mystery']",6.4,100,The Bárbara de Braganza is attacked on multiple fronts just as the virus starts spreading and the passengers and crew attempt to procure a vaccine.,,,Series,"['Ivana Baquero', 'Jon Kortajarena', 'Alejandra Onieva', 'Eloy Azorín']",['Lino Escalera']
Lupin,2021,Ongoing,"['Action', 'Crime', 'Drama']",7.2,1409,"Assane searches for Raoul with Guedira in tow. In a deserted Normandy mansion, a heated confrontation erupts between Leonard and Assane.",43,,Series,"['Omar Sy', 'Ludivine Sagnier', 'Hervé Pierre', 'Soufiane Guerrab']",['Ludovic Bernard']
Lupin,2021,Ongoing,"['Action', 'Crime', 'Drama']",7.3,1166,"Hubert makes a deal with Dumont and sets a trap for Assane, who happens to be one step ahead. Claire knocks on Hubert's door.",44,,Series,"['Omar Sy', 'Ludivine Sagnier', 'Clotilde Hesme', 'Hervé Pierre']",['Ludovic Bernard']
El robo del siglo,2020,,"['Crime', 'Drama', 'Thriller']",7.2,114,"Two years after a robbery goes awry, Chayo plans the ultimate heist. In debt, juggling his career and family, Chayo visits Lawyer, an old partner. Lawyer suffering from two gunshots, during the last robbery, reluctantly teams with Chayo.",,,,"['Andrés Parra', 'Christian Tappan', 'Waldo Urrego', 'Marcela Benjumea']",['Pablo Gonzalez']
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.3,179,"After pushing a broom for centuries, Merlin's apprentice, Douxie, springs into action when the great sorcerer asks him to find the Guardians of Arcadia.",24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Francisco Ruiz-Velasco', 'Andrew L. Schmidt']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.2,161,"Douxie, Claire, Steve and Jim meet the legendary King Arthur and his sister, Morgana, in medieval Camelot - where being a troll is punishable by death.",24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Lena Headey']","['Douglas Shorts', 'Johane Matte']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.7,154,"With the future at stake, Douxie and Claire cling to the hope that Arthur and Morgana can reconcile. Meanwhile, humans are hunting trolls in the woods.",24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Andrew L. Schmidt']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.3,147,"Merlin leads his ragtag crew on a quest to restore Excalibur and save Camelot. Elsewhere, Jim tries to convince Blinky that they're on the same side.",24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Francisco Ruiz-Velasco']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.5,147,Morgana takes a new title - Mother of Monsters - and vows to usher in an age of reckoning. An epic battle begins in King Arthur's court.,24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Johane Matte']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.8,151,Arthur seeks an alliance with the trolls of Dwoza as Gunmar begins building his army. Merlin and Douxie join forces to forge the amulet.,24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Francisco Ruiz-Velasco']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",9.0,158,"With the fateful battle underway, every hero must do their part to stop the Arcane Order, banish Gunmar and ensure that history plays out as it should.",24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Francisco Ruiz-Velasco']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.9,143,"After returning to the 21st century, Jim makes a surprising sacrifice - and a familiar face joins the fight. The Green Knight finally reveals himself.",24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Johane Matte']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.6,143,The race is on to find the Genesis Seals as Douxie and Archie look for clues in a notorious dragon's lair. Claire searches the shadows for Jim's soul.,24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Andrew L. Schmidt']"
Wizards,2020,,"['Animation', 'Action', 'Adventure']",8.8,167,The Arcane Order pushes Douxie to make an impossible choice: save his friends - or save the planet. Which will he pick? Only time will tell.,24,,,"[""Colin O'Donoghue"", 'David Bradley', 'James Faulkner', 'Kelsey Grammer']","['Douglas Shorts', 'Andrew L. Schmidt']"
The Last Kingdom,2015,Ongoing,"['Action', 'Drama', 'History']",,,,,,Series,['Ewan Horrocks'],
Hit and Run,2021,Ongoing,"['Action', 'Crime', 'Drama']",,,,,,Series,"['Sanaa Lathan', 'Gregg Henry', 'Lior Raz', 'Philip Casnoff']",['Mike Barker']
The Protector,2018,2020,"['Action', 'Fantasy', 'Sci-Fi']",6.7,165,"Amid a search for the potion in the past, Hakan overhears details of a fatal plot against Vizier. The Oracle reveals to Zeynep a cryptic prophecy.",,,Series,"['Çagatay Ulusoy', 'Okan Yalabik', 'Hazar Ergüçlü', 'Funda Eryigit']",['Umut Aral']
The Protector,2018,2020,"['Action', 'Fantasy', 'Sci-Fi']",7.0,163,"After deciphering Okhan's note, Hakan scrambles to foil a sinister scheme against the Sultan - with unexpected consequences.",,,Series,"['Çagatay Ulusoy', 'Okan Yalabik', 'Hazar Ergüçlü', 'Funda Eryigit']",['Umut Aral']
Alta mar,2019,2020,"['Crime', 'Drama', 'Mystery']",8.0,75,"As the crimes continue, Eva's involvement raises suspicions. Fabio distrusts Carolina. The crew begins to have doubts about the captains abilities.",,,Series,"['Ivana Baquero', 'Jon Kortajarena', 'Alejandra Onieva', 'Eloy Azorín']",['Federico Untermann']
Alta mar,2019,2020,"['Crime', 'Drama', 'Mystery']",8.0,73,"When Fabio gets detained, Eva tries to find Steve's photograph. Carmen's prisoner attempts an escape.",,,Series,"['Ivana Baquero', 'Jon Kortajarena', 'Alejandra Onieva', 'Eloy Azorín']",['Federico Untermann']
Alta mar,2019,2020,"['Crime', 'Drama', 'Mystery']",7.7,77,Verónica seeks help for the bandaged woman traveling with Carmen. Nicolás wonders why the Bárbara de Braganza changes course. Fabio interrogated Ayala.,,,Series,"['Ivana Baquero', 'Jon Kortajarena', 'Alejandra Onieva', 'Eloy Azorín']",['Lino Escalera']
The Protector,2018,2020,"['Action', 'Fantasy', 'Sci-Fi']",7.3,167,"Faysal turns the tables on Vizier. Trapped in a precarious state, Hakan gains an unlikely ally. Zeynep acquires tremendous powers.",,,Series,"['Çagatay Ulusoy', 'Okan Yalabik', 'Hazar Ergüçlü', 'Funda Eryigit']",['Burcu Alptekin']
The Protector,2018,2020,"['Action', 'Fantasy', 'Sci-Fi']",7.2,163,Zeynep shows Hakan a vision of the future - but she hides a crucial detail. Vizier confronts Okhan and Faysal in her search for the truth about Harun.,,,Series,"['Çagatay Ulusoy', 'Okan Yalabik', 'Hazar Ergüçlü', 'Funda Eryigit']",['Burcu Alptekin']
The Protector,2018,2020,"['Action', 'Fantasy', 'Sci-Fi']",7.5,169,Hakan visits a healer with an unexpected link to Harun's past. Faysal sets his scheme in motion as Hakan's talismanic powers fade.,,,Series,"['Çagatay Ulusoy', 'Okan Yalabik', 'Hazar Ergüçlü', 'Funda Eryigit']",['Gökhan Tiryaki']
The Protector,2018,2020,"['Action', 'Fantasy', 'Sci-Fi']",6.6,196,Hakan wakes up to a different reality. Zeynep and Hakan discover Faysal's shocking connection to the first Protector.,,,Series,"['Çagatay Ulusoy', 'Okan Yalabik', 'Hazar Ergüçlü', 'Mehmet Yilmaz Ak']",['Gökhan Tiryaki']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",6.7,6,,39,,Series,['Ricky Merino'],['Salva Romero']
Tribes of Europa,2021,Ongoing,"['Action', 'Adventure', 'Drama']",6.7,670,"When an aircraft crashes nearby, siblings Liv, Elja and Kiano and the other Origines fall prey to the Crows, who seek a powerful Atlantian artifact.",49,,Series,"['Henriette Confurius', 'Emilio Sakraya', 'David Ali Rashed', 'Melika Foroutan']",['Philip Koch']
The Boondocks,2005,2014,"['Animation', 'Action', 'Comedy']",7.7,169,"Huey goes on a hunger strike in a boycott of BET, and receives some high-profile support from Reverend Rollo Goodlove, who may be more interested in his own self-promotion than any good intentions.",20,,Series,"['Regina King', 'John Witherspoon', 'Cedric Yarbrough', 'Gary Anthony Williams']","['Dan Fausett', 'Bob Hathcock', 'Seung Eun Kim']"
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",6.9,133,"Alma tries to set boundaries with Darío, and later walks in on a scene that supports her suspicions about Leonardo. Zoe questions her sexual identity.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.0,123,"When forensic evidence suggests Brenda had just met with a lover, the police focus their efforts on identifying him. Darío gets Alma to open up to him.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",6.9,113,"Alma reveals her lover's name to Esteban, who pays him a visit. Darío finds an upsetting photo in his mom's room. Zoe tries to figure out who Animus is.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.2,105,"At the hotel, Darío spies on the anniversary celebration. Esteban digs deeper into Daríos's background and finds a connection to an old murder case.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.1,99,Esteban shows Alma a case file. Zoe follows a GPS signal in hopes of finding Animus. Security video footage reveals the last person who visited Brenda.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.1,96,"Flashbacks reveal the start of Lucinda's illness. To test a theory Esteban has, Alma follows his instructions and asks Dario to meet her at a motel.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.3,94,"Alma has second thoughts about leading Dario into Esteban's trap and starts to panic. Meanwhile, Leonardo begins to suspect his wife is cheating on him.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.2,92,Leonardo orders an exhumation. A flashback reveals the rest that transpired between Esteban and Dario. Zoe receives a surprise visitor at school.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Super Monsters,2017,Ongoing,"['Animation', 'Adventure', 'Comedy']",5.9,38,"A new class of pint-sized preschoolers arrives at Pitchfork Pines, and the Super Monsters take their superpowers to the next level - the Purple Room.",24,,Series,"['Nicole Anthony', 'Elyse Maloway', 'Erin Mathews', 'Asia Mattu']",['Steve Ball']
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.2,87,Zoe is taken on a mysterious outing. A clue at Dario's shop leads Alma to a horrifying realization. Esteban's review of the security videos pays off.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.2,86,"Evidence found at the picnic site spurs Leonardo to hunt down Dario. Later, after begging Alma not to air their dirty laundry, he suffers a breakdown.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.2,84,"Esteban asks Vallejo to steal police evidence. Leonardo makes an admission to his brother, and recalls his final meeting with Brenda at her home.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",6.9,81,A gruesome find is made. Esteban gets hold of Leonardo's phone records and shows them to Alma. Zoe detects Animus's phone signal and zeros in on it.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",6.9,79,The police apprehend a suspect carrying the evidence bag from Brenda's case. Alma demands answers from Dario. Leonardo's medical test results come back.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.0,80,Lucinda insists she's owed money. Garcia reviews the security videos and gets suspicious. Leonardo reveals what happened the last time he saw Brenda.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.2,81,The man who stole the evidence related to Brenda's case tells Garcia who hired him. Dario remembers where Esteban held him captive and returns there.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.3,85,"Zoe makes a confession to her mom. On the run, Leonardo calls Esteban for help. Garcia obtains an audio recording from the last phone call Brenda made.",,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
Dark Desire,2020,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.1,89,An unexpected encounter answers Alma's lingering questions about the past weeks. Garcia receives forensic results from the textile factory explosion.,,,Series,"['Maite Perroni', 'Erik Hayser', 'Alejandro Speitzer', 'Jorge Poza']",
El robo del siglo,2020,,"['Crime', 'Drama', 'Thriller']",7.5,98,"Chayo and Molina travel to the coast with Dona K. El Sardino, Maguiver, Estiven, El Dragon and Goliath are recruited. Molina decides, its crucial to bribe Lt. Monroy, whose in charge of security, at the bank. Chayo finds their way in.",,,,"['Andrés Parra', 'Christian Tappan', 'Waldo Urrego', 'Marcela Benjumea']","['Pablo Gonzalez', 'C.S. Prince']"
Immigration Nation,2020,Ongoing,['Documentary'],7.3,87,,,,Series,,"['Christina Clusiau', 'Shaul Schwarz']"
Immigration Nation,2020,Ongoing,['Documentary'],7.0,66,,,,Series,,"['Christina Clusiau', 'Shaul Schwarz']"
Immigration Nation,2020,Ongoing,['Documentary'],7.3,59,,,,Series,,"['Christina Clusiau', 'Shaul Schwarz']"
Immigration Nation,2020,Ongoing,['Documentary'],7.0,58,,,,Series,,"['Christina Clusiau', 'Shaul Schwarz']"
Immigration Nation,2020,Ongoing,['Documentary'],7.1,58,,,,Series,,"['Christina Clusiau', 'Shaul Schwarz']"
Immigration Nation,2020,Ongoing,['Documentary'],7.2,58,,,,Series,,"['Christina Clusiau', 'Shaul Schwarz']"
The Rain,2018,2020,"['Drama', 'Sci-Fi', 'Thriller']",6.8,339,"Simone meets a brother and sister living off the grid. Back at Apollon, Patrick and Fie weigh their options, and Rasmus makes a horrifying discovery.",41,,Series,"['Evin Ahmad', 'Annemette Andersen', 'Alba August', 'Mikkel Boe Følsgaard']",
Tiny Creatures,2020,Ongoing,"['Documentary', 'Short', 'Drama']",5.9,81,,25,,Series,"['Mike Colter', 'Robert Jensen', 'Louis Labrom-Brown', 'Julie Sisson']",['Jonathan Jones']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",7.2,5,,38,,Series,"['Ricky Merino', 'Barbara Orti']",['Salva Romero']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",6.5,6,,40,,Series,['Ricky Merino'],['Salva Romero']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",7.3,6,,38,,Series,"['Ricky Merino', 'Barbara Orti']",['Salva Romero']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",7.2,5,,39,,Series,['Ricky Merino'],['Salva Romero']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",6.9,7,,40,,Series,"['Ricky Merino', 'Barbara Orti']",['Salva Romero']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",7.3,7,,42,,Series,['Ricky Merino'],['Salva Romero']
¡A cantar!,2020,Ongoing,"['Game-Show', 'Music']",6.7,7,,39,,Series,"['Ricky Merino', 'Gianni Calchetti', 'Maysa Monção']",['Salva Romero']
Outer Banks,2020,Ongoing,"['Action', 'Crime', 'Drama']",8.6,528,"John B tries to evade capture as he zeroes in on the gold, but a promise to Sarah could derail his plans. Back home, his friends face life without him.",,,Series,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Jonathan Daviss']",['Jonas Pate']
El robo del siglo,2020,,"['Crime', 'Drama', 'Thriller']",7.7,96,"Disabling guards and the alarm, the crew work to crack the vault. Dealt with an electrical issue, thicker vault, guard change, heat and smoke the crew is wearily behind schedule. 18hrs inside and tensions arising, the crew finds success.",,,,"['Marcela Benjumea', 'Andrés Parra', 'Christian Tappan', 'Waldo Urrego']","['Pablo Gonzalez', 'C.S. Prince']"
The Witcher: Blood Origin,,,"['Action', 'Adventure', 'Fantasy']",,,,,,,"['Michelle Yeoh', ""Laurence O'Fuarain"", 'Sophia Brown']",
The Witcher: Blood Origin,,,"['Action', 'Adventure', 'Fantasy']",,,,,,,"['Michelle Yeoh', ""Laurence O'Fuarain"", 'Sophia Brown', 'Jon Prophet']",
WWE's the Bump,2019,Ongoing,"['Talk-Show', 'Sport']",,,"This week, Bret Hart has joins the crew of WWE's The Bump to dive deep on his incredible SummerSlam legacy, including his matches against The Undertaker, Owen Hart, The British Bulldog and ...",89,,Series,"['Kayla Becker', 'Matt Camp', 'Evan Mack', 'Ryan Pappolla']",
Jurassic World: Camp Cretaceous,2020,Ongoing,"['Animation', 'Action', 'Adventure']",7.1,430,"After waiting his whole life to see dinosaurs, lucky Darius wins the chance to join five other campers on Isla Nublar for a once-in-a-lifetime adventure.",24,,Series,"['Paul-Mikél Williams', 'Sean Giambrone', 'Kausar Mohammed', 'Jenna Ortega']","['Shih Ming Tay', 'Lane Lueras']"
Memorias de Idhún,2020,2021,"['Animation', 'Action', 'Adventure']",7.1,17,"Jack wants to help when Victoria is stalked by Kirtash, but Alsan worries he'll put the mission at risk. Victoria discovers new aspects of her powers.",,,Series,"['Itzan Escamilla', 'Michelle Jenner', 'Nico Romero', 'Sergio Mur']",['Maite Ruiz de Austri']
Memorias de Idhún,2020,2021,"['Animation', 'Action', 'Adventure']",7.2,16,Kirtash spins a masterful trap and forces Jack and Victoria to make an impossible choice in order to save Alsan's life.,,,Series,"['Itzan Escamilla', 'Michelle Jenner', 'Nico Romero', 'Sergio Mur']",['Maite Ruiz de Austri']
Memorias de Idhún,2020,2021,"['Animation', 'Action', 'Adventure']",7.5,15,"Shail tells Jack the true story of the unicorns and dragons, and is forced to oversee Jack and Victoria as they take charge of their developing powers.",,,Series,"['Itzan Escamilla', 'Michelle Jenner', 'Nico Romero', 'Sergio Mur']",['Maite Ruiz de Austri']
