title,start_year,end_year,language,run_time,rating,summary,status
Bad Boy Billionaires: India,2020,2020,English,59.0,,"This investigative docuseries explores the greed, fraud and corruption that built up — and ultimately brought down — India's most infamous tycoons.",Ended
Lost,2004,2010,English,60.0,8.2,"Out of the blackness, the first thing Jack senses is pain. Then burning sun. A Bamboo forest. Smoke. Screams. With a rush comes the horrible awareness that the plane he was on tore apart in mid-air and crashed on a Pacific island. From there it's a blur, as his doctor's instinct kicks in: people need his help.Stripped of everything, the 48 survivors scavenge what they can from the plane for their survival. Some panic. Some pin their hopes on rescue. A few find inner strength they never knew they had -- like Kate, who, with no medical training, suddenly finds herself suturing the doctor's wounds. Hurley - a man with a warm sense of humor despite the desperate situation - does his best to keep his cool as he helps those around him to survive. Charlie is a faded rock star who harbors a painful secret. Sayid is a Middle Eastern man who must wrestle with the racial profiling directed at him by some of his fellow survivors. Jin and Sun are a Korean couple whose traditions, values and language are foreign, and thus causes much to get lost in the translation. Sawyer has an air of danger surrounding him, and his intense sense of mistrust for everyone around him could prove to be fatal to his fellow castaways. Michael has just gained custody of his nine-year-old son, Walt, after the death of his ex-wife - they are a father and son who don't even know each other. Locke is a mysterious man who keeps to himself, and who harbors a deeper connection to the island than any of the others. Self-centered Shannon - who actually gives herself a pedicure amid the chaos - and her estranged controlling brother, Boone , constantly bicker and must learn to get along if they are to survive. And young Claire is eight months pregnant and ill-prepared for the hardships of motherhood - especially on a deserted island.",Ended
Babies,2020,2020,English,51.0,,"Filmed over the course of three years, Babies is a landmark series that explores the miracle of the first full year of life through the pioneering work of leading scientists from across the globe. The series examines the epic journey every person  embarks on, from helpless new-born to independent toddler.  Following the life-changing adventures of 15 international families and featuring  the latest research from eminent scientists who share their personal journeys of discovery into the infant mind, the series is filled with the exciting uncertainty of parenting, exploring each major milestone of development like never before. From the first bond a baby shares with its parents, to learning to feed, sleep through the night, crawl across the room, speak their first words, and discover the world around them – right up to those first steps of toddlerhood.",Ended
Bing-ui,,,,,,,
Selection Day,2018,2019,Hindi,25.0,,Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,Ended
The Mr. Peabody and Sherman Show,2015,2017,English,30.0,,"Mr. Peabody, the smartest dog in the world, and his boy Sherman host a zany late-night comedy show broadcast from their swanky penthouse in front of a live studio audience. Anything can happen in this show jam-packed with exciting segments, great musical acts and very special guests like outrageous neighbors and hilarious time travelers they meet with the WABAC machine.",Ended
The Big Flower Fight,2020,,English,39.0,,"Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures.",To Be Determined
Cooked with Cannabis,2020,,English,35.0,,"Cooked with Cannabis challenges chefs to use the title ingredient for more than its best-known quality. During each episode, three pro chefs work against the clock to create a three-course meal based around themes that range from world cuisine to futurist food to the kind of weed-heavy holiday menu that could make even your least favorite uncle seem tolerable.",To Be Determined
I [Heart] Arlo,,,,,,,
Mighty Express,2020,,English,14.0,,Catch a ride with the Mighty Express — a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!,To Be Determined
Turbo FAST,2013,2016,English,23.0,,"Turbo and his crew face challenges at home and abroad against crazy opponents -- surfing roaches, a con artist gecko, a pirate rat and a drift-racing cricket -- in far-flung destinations like Africa and a Mississippi swamp.",Ended
Where on Earth is Carmen Sandiego?,1994,1999,English,30.0,6.4,"The world s greatest thief is on the loose, and it s up to you to find her! The world famous thief, Carmen Sandiego, plays an intricate game of cat and mouse with teen ACME detectives, Zack and Ivy. Based on the award-winning line of educational computer games, this energizing series is rich in both excitement and education as Carmen Sandiego attempts to steal the most valuable objects in the world. It s up to our detectives and the audience to figure out where in the world she is. Filled with unique characters, wonderful story lines and humor, this Emmy® award-winning animated series, educates kids of all ages in the subjects of history, geography and fun through its action-packed adventures!",Ended
Historia de un crimen: Colosio,2019,2019,Spanish,42.0,,"In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it. Based on true events.",Ended
Pandemic: How to Prevent an Outbreak,2020,2020,English,48.0,,Meet the heroes on the front lines of the battle against influenza and learn about their efforts to stop the next global outbreak.,Ended
FightWorld,2018,2018,English,42.0,,Actor and martial artist Frank Grillo explores and experiences the diverse fighting techniques found in cultures around the world.,Ended
Littlest Pet Shop: A World of Our Own,2018,2018,English,15.0,,Pets are visited to a new world used only by them. ,Ended
44 Cats,2018,2021,Italian,15.0,5.5,"Four cats named Lampo, Milady, Pilou, and Polpetta get taken in by Granny Pina and form a band and meet 40 other cats.",Ended
Millennials,2021,,English,,,"Millennials is centered on the lives of four 20-something roommates and their neighbors across the hall; as they navigate the chaos of being young and finding success, and themselves, in the city of angels.",To Be Determined
Larva Island,2018,2019,English,8.0,6.4,"Stranded on a tropical island, two silly larva buddies find slapstick fun in everything from discovering food to meeting new animal friends.",Ended
Word Party,2016,,English,13.0,,"Word Party is a vocabulary building show from The Jim Henson Company that follows four adorable baby animals as they sing, dance and play. The show invites our youngest viewers to help teach the baby animals new words, practice these new words themselves, and celebrate these achievements with a ""Word Party!""",To Be Determined
Terrace House: Boys × Girls Next Door,2012,2014,Japanese,30.0,,"Captured 24 hours per day, Terrace House: Boys × Girls Next Door will follow six total strangers who are forced to live together, while pursuing their own dreams.",Ended
The Secret Life of My Secretary,2019,2019,Korean,35.0,7.1,"The Secret Life of My Secretary is about a cold-hearted boss of a mobile media company finding his true identity and finally starting to respect people after losing his sight.Do Min Ik works as a director of the mobile media 1 team at T&amp;T. He is smart and excellent at his job. His secretary is Jung Gal Hee. Do Min Ik often does childish things like calling Jung Gal Hee continually. Jung Gal Hee carries out Do Min Ik's orders without complaints. She looks soft, but she hides her tough side.",Ended
Afflicted,2018,2018,English,42.0,,Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers -- and relief.,Ended
Hi Score Girl,2018,2019,Japanese,25.0,7.2,"A chronic gamer abysmally inept in academics and sports finally meets his match at his usual shady arcade -- and it's his rich classmate, Akira.",Ended
Back with the Ex,2018,2018,English,55.0,,"Is the one that got away your true love? Back with the Ex reunites four singles with an ex they've never been able to forget. They now have the chance to find out if they were the right one for them after all. These couples will relight the spark on a romantic honeymoon. Then, they'll come crashing back to reality when they move in to each other's homes… and their friends and family get to have a say. They'll confess their deepest darkest secrets to each other and their trust will be put to the test. In an epic finale, the couples will take a once-in-a-lifetime overseas trip to a romantic destination. Here they'll decide if it's happily ever after… or if they'll walk away forever. Will love find a way?",Ended
Puerta 7,2020,2020,Spanish,41.0,,A determined woman works to rid an Argentine soccer club of the violent crime and corruption surrounding its intense fanbase.,Ended
Unnatural Selection,2019,2019,English,66.0,,"Unnatural Selection explores new developments in the science of gene-editing that defy evolution and raise moral, social and environmental impact questions about where we, as a society, draw the line.",Ended
Chhota Bheem,,,,,,,
Kevin Hart: Don't F**k This Up,2019,2019,English,32.0,,"In Don't F**k This Up, Kevin Hart gives unprecedented access to his life over the past year. Tapping into the trials and tribulations of what it means to be a father, a partner, a role-model, and a business-man, Hart reflects on the events that have shaped his life, making him into the person he is today. Viewers will get a behind-the-scenes look at Kevin's day-to-day life as he deals with the fallout from the Oscar controversy, his marriage, and his growing career. The series includes interviews with Hart's friends and family, rare archival footage from his childhood and early stand-up days, and personal anecdotes from the comic himself.",Ended
The Last Empress,2018,2019,Korean,35.0,7.6,"Set in an alternate universe, in which Korea is a constitutional monarchy in 2018, Oh Sunny is a bright and vivacious musical actress who marries the emperor. She becomes involved in the palace power struggle and a mysterious murder that sets off events that threaten the monarchy itself, while searching for true love and happiness.",Ended
I Hear You,2019,2019,Chinese,30.0,,"Bei Er Duo, a girl from an ordinary family, dreams about studying in Japan to be a professional voice actor. However, her mother wants her to marry rich whilst she is young, leading to continuous blind dates which irritate Bei Er Duo. In her desperation to raise funds for studying overseas as well as helping her best friend Tang Li out of a crisis, Bei Er Duo joins a couple reality program,encountering top violin maker Ye Shu Wei.Ye Shu Wei is from a family of artists and has a low-key, mysterious, and genius character in both the composing and violin industry. He was forced to join the reality program having lost a bet to his nephew Yu Sheng. In fact, the actual reason that attracted Ye Shu Wei to participate in the show is not his bet with Yu Sheng. Instead, he seeks to identify the person who correctly answered his audition question. Because the reality show is faced with the crisis of integrity, Bei Er Duo and Ye Shu Wei start a lively and funny cohabitation life, and spontaneously fell into the fate of a wonderful romance together.",Ended
Under Arrest,1993,2017,English,21.0,,"Cameras follow police officers on patrol and capture their gritty world of raw emotions and unexpected events as they answer calls for help, solve crimes and arrest law-breakers.",Ended
The Forest of Love: Deep Cut,2020,2020,Japanese,40.0,,Nothing's as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.,Ended
Bake Squad,2021,,English,35.0,,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,To Be Determined
Todo va a estar bien,2021,,Spanish,29.0,,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.,To Be Determined
Interior Design Masters with Alan Carr,2019,,English,60.0,4.5,"Interior Design Masters takes ten fledgling designers and launches them into the world of interior design. With eight weeks and eight different challenges to tackle, in each episode the designers will be confronted with a new space to transform in an attempt to win the grand prize offer of a life changing design contract.",Running
Princesse Sarah,1985,1985,Japanese,30.0,,"Sara, a pretty girl born into a rich British family in India, is treated like a little princess at a dormitory school in London. Sara's sweet school life turns to tragedy when she learns of her father's death and the family's bankruptcy. However, Sara endures her hard luck with kindness and imagination and escapes from her misery through fantasies.",Ended
Tiny Creatures,2020,2020,English,25.0,,"Tiny Creatures magnifies some of the world's smallest wildlife, finding that bigger isn't always better. In every episode, immerse yourself in a different ecosystem and see the drama that unfolds right at our very feet.",Ended
Fastest Car,2018,2019,English,44.0,6.3,The drivers of exotic supercars put their street cred on the line against deceptively fast sleeper cars built and modified by true gearheads.,Ended
The Iliza Shlesinger Sketch Show,2020,2020,English,19.0,,"From the mind of Iliza Shlesinger comes a secret world filled with absurd characters, insight into the female experience, and irreverent yet poignant social commentary.",Ended
Monkey Twins,2018,2018,Thai,60.0,,"Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",Ended
Splatter,,,,,,,
Amazing Hotels: Life Beyond the Lobby,2017,,English,60.0,,Rob Rinder and Monica Galetti roll up their sleeves to work alongside staff in some of the most extraordinary hotels across the globe.,To Be Determined
Spy Kids: Mission Critical,2018,2018,English,24.0,,What if grown-up spies can't do the job? It's up to junior spies Juni and Carmen Cortez to defeat S.W.A.M.P. in an animated series based on the films.,Ended
Chief of Staff,2019,2019,Korean,80.0,7.8,"As a chief of staff in the National Assembly, Jang Tae Joon influences power behind the scenes while pursuing his own ambitions to rise to the top.",Ended
Family Cooking Showdown,2017,2018,English,60.0,,"Family Cooking Showdown is a competitive food show that celebrates favourite family recipes, meeting a diverse variety of home cooks from across Britain.Presented by Zoe Ball and Nadiya Hussain, the series delves into kitchens up and down the country, showcasing family food that creates the heart within the home and brings generations together.In search of Britain's best family of cooks, judging their efforts are renowned cookery teacher Rosemary Shrager and top Michelin-starred chef Giorgio Locatelli. The two judges set challenges in both the studio kitchen and home kitchens.",Ended
Restaurants on the Edge,2020,,English,60.0,,"Restaurants On The Edge visits eateries in some of the world's most stunning locations. Despite their outstanding views, these restaurants haven't been able to create an experience that lives up to their magnificent surroundings. Follow a team of three experts—a restaurateur, a designer, a chef—as they embark on a journey to not only transform the restaurants, but the owners' outlook as well. Through tapping into the restaurant's surroundings and community, our experts remodel each restaurant in a way that is uplifting, inspirational, and positive.",To Be Determined
Misty,2018,2018,Korean,60.0,,"Popular Anchor Go Hye Ran achieved her position through hard work, but suddenly her career is about to break apart when she becomes a suspect in a murder case. Kang Tae Wook, public defender and husband of Hye Ran, decides to personally defend her. Even though their marriage has been on rocks, they slowly fall in love with each other again.",Ended
WISH YOU: Your Melody from My Heart,,,,,,,
Smile PreCure!,2012,2013,Japanese,24.0,,"Once upon a time, there was a kingdom of fairy tales called ""Märchenland"", where many fairy tale characters live together in joy. Suddenly, the evil emperor Pierrot made an invasion on Märchenland, sealing its Queen in the process. To revive the Queen, the symbol of happiness called Cure Decor, ""the Queen's scattered power of light of happiness"", is required. To collect the Cure Decor, a fairy named Candy searches for the Pretty Cures on Earth. There, Candy meets a girl, who decides to collect the Cure Decor. Now, will the world earn a ""happy ending""?",Ended
Tales by Light,2015,2018,English,30.0,,"Behind every powerful image is a powerful story. Uniting exploration, photography and the natural world, Tales by Light follows photographers from Australia and around the world as they push the limits of their craft. Told from the eye of the storyteller, follow these extraordinary artists as they work to capture the perfect image and show us our world in a new light.",Ended
Bhaag Beanie Bhaag,2020,,Hindi,29.0,,"Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up.",To Be Determined
We Baby Bears,2022,,English,15.0,,"We Baby Bears features the Baby Bears on their search for a place they can settle down and fit into. Each episode transports them into vibrant and colorful worlds, where they befriend legions of familiar fairytale faces. During their nonstop crusade, they are faced with the decision to stay or to continue on their journey for a permanent abode they can call home.",Running
My Golden Life,2017,2018,Korean,65.0,7.2,"Seo Ji Ahn is a former rich girl, but was forced to be her family's breadwinner after her father's bankruptcy. She is now a contractual employee and living her life with restrained emotion. The drama chronicles her struggles to find new meaning and happiness in life.",Ended
Super Monsters,2017,2021,English,29.0,,Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.,Ended
Transformers: Rescue Bots Academy,2018,2020,English,15.0,,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions.",Ended
Spirit Riding Free: Riding Academy,2020,,English,24.0,,A new chapter begins for Lucky and her friends as they leave Miradero behind to live and learn at the prestigious Palomino Bluffs Riding Academy.,To Be Determined
Yowamushi pedaru,,,,,,,
Naruto SD: Rock Lee no Seishun Full-Power Ninden,2012,2013,Japanese,25.0,7.1,"Naruto SD: Rock Lee no Seishun Full-Power Ninden (aka) is the anime adaptation of the Naruto spin-off manga, Rock Lee no Seishun Full-Power Ninden.The series chronicles the daily life and training of Konohagakure ninja Rock Lee, who can utilize taijutsu, but has no skill in ninjutsu or genjutsu. Episodes feature comical scenes and mini-skits to emphasize the characters' goals and thought processes. Rock Lee &amp; His Ninja Pals is the first spin-off anime series that does not follow the main plot of the Naruto Shippuuden series, although it retains the original voice actors.",Ended
Doctor X ~ Gekai Daimon Michiko ~,,,,,,,
Chelsea,2016,2017,English,37.0,7.1,"Chelsea Handler is back with a freshly stamped passport and new global outlook as she tackles today's tough issues with the same acerbic wit and fearless curiosity you know and love. Handler is tossing the traditional talk show model out the window for Chelsea. Join her as she travels around the world – from Russia, Japan, and Mexico City, across the U.S. and back again to Sony Pictures Studios, where she tapes in front of a LIVE in-studio audience – to explore the subjects that matter most to you. Chelsea will also feature celebrities, dignitaries, and surprise guests, but as you've never seen them before: engaging in thought-provoking, yet hilarious conversations about topics like international cultures, alternative lifestyles, education, health, sports, parenting, politics, and more.",Ended
Find Yourself,2020,2020,Chinese,60.0,,"A love story between an accomplished career woman and a younger man.He Fan Xing's company is at risk of being acquired while her relationship with Yuan Song faces societal pressures due to their age difference. The consecutive blows in her work and love life push her to an emotional quagmire and it is during this time that Ye Lu Ming enters her life. Being older in age, he is mature, stable and knowledgeable. He becomes He Fan Xing's life coach and the source of conflict between the couple. For He Fan Xing, it's not merely a matter of choosing the man that she loves but considering the contradictions of adopting the traditional mindset on marriage.",Ended
What Do You Do at the End of the World? Are You Busy? Will You Save Us?,2017,2017,Japanese,30.0,6.3,"Humans have been driven to extinction by ""Beasts"". The duty of fighting the Beasts fall to ""Fairies"", who are destined to use their powers to wield ""Holy Swords"" called ""Kariyon"" and eventually meet their destiny of death. A sole human being named Willem wakes up after several hundred years, and continues his fight against the Beasts.",Ended
V.I.P.,1998,2002,English,60.0,6.7,"A campy syndicated series about Vallery Irons, a girl working at a hot-dog stand who accidentally saves a celebrity and is mistaken for a bodyguard. She and a team of beautiful bodyguards form a bodyguard agency called V.I.P. which stands for Vallery Irons Protection. When Vallery Irons first comes to California, she has no idea that her big break will come from a date with a famous action star. While attending a Hollywood premiere, a crazed fan pulls a gun - but her movie hunk turns into a coward, and it's Vallery who becomes the hero. Suddenly, she's thrown into a world of action and danger as owner of a Hollywood protection agency (V.I.P. or Vallery Irons Protection), taking the risks to protect others at a price few are willing to pay.",Ended
Tales of the City,1994,2001,English,60.0,8.0,"Tales of the City (and its sequels) follows the soap-operaish lives of the people living in 1970's and 1980's San Francisco, and are based on Armistead Maupin's novels. The show centers around Anna Madrigal, the eccentric landlady at 28 Barbary Lane (who welcomes her tenants by taping homegrown joints above their doors), her tenants and the others implicated in their lives. Tenants include Mary Ann Singleton, a naive midwesterner who moves to California to start a new life; Mona Ramsey, a ""fag-hag"" with a special connection to Mrs Madrigal; Michael ""Mouse"" Tolliver, a gay Floridan who moved to California to avoid letting his parents find out he was gay; and Brian Hawkins, a horny straight guy trapped in a gay city... People involved in their lives are Beauchamp Day, Mary Ann's boss, and his wife DeDe; Edgar Halcyon, Anna's boyfriend, and his wife, Frannie who are DeDe's parents.",Ended
Shaun the Sheep: Adventures from Mossy Bottom,2020,2020,English,7.0,,"Clever sheep Shaun, loyal dog Bitzer and the rest of the Mossy Bottom gang cook up oodles of fun and mischief on the farm.",Ended
Cyberpunk: Edgerunners,2022,2022,Japanese,25.0,7.5,"Set in Cyberpunk 2077 universe, Cyberpunk: Edgerunners tells a standalone, 10-episode story about a street kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an edgerunner—a mercenary outlaw also known as a cyberpunk.",Ended
GAME ON: A Comedy Crossover Event,2020,,English,29.0,,"Worlds collide in this special event featuring familiar faces, surprise cameos and stories of spirited competition from four different comedy series.",Running
Tukabseu,,,,,,,
Absurd Planet,2020,2020,English,20.0,,"A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth's most incredible animals.",Ended
Revisions,2019,2019,Japanese,30.0,,"When Shibuya time-warps to 2388, high schooler Daisuke and his friends are conscripted by AHRV agent Milo to fight the hostile cyborg race, revisions.",Ended
Sotus: The Series,2016,2018,Thai,60.0,7.9,"There's a university system called SOTUS (an acronym which stands for Seniority, Order, Tradition, Unity and Spirit - a tradition in which upper classmen sometimes exploit and even abuse freshmen and others seeking acceptance). Junior level students are required to mentor those freshmen and be respected in return. Enter a rather assertive and vocal freshy at the Engineering faculty named Kongpob who gets to be under the mentorship of Artit, a strict Junior who happens to be the boss of his year. ",Ended
Drifting Dragons,2020,2020,Japanese,24.0,,"It's time to see what dragon tastes like! The crew of the airship Queen Zaza makes their living hunting dragons. Succeed, and the reward is riches and all the meat they can eat! Fail, and all that awaits them is a messy end. Follow the grand hunting and cooking adventure of the Queen Zaza as they chase dragons across the sky!",Ended
Best Leftovers Ever!,2020,2020,English,36.0,,"The kings &amp; queens of leftover cooking will take a leftover dish on an epic journey across two rounds. Each half-hour after party, our home cooks will compete in the ultimate food makeover, finding ways to give old leftovers new life, all in the hopes of winning a $10,000 prize! Join host Jackie Tohn and judges David So and Rosemary Shrager as they watch our contestants transform leftovers into delicious creations. ",Ended
Masaba Masaba,2020,,Hindi,34.0,,"Inspired by Masaba Gupta's story, the series gives you a sneak peek into the contrasting lives she lives -- from the fancy dos she attends with her celebrity friends to moments she is crying into a bottle of wine on the floor of her apartment, Masaba is as real as it gets. Masaba Masaba is a celebration of her life, successes and failures alikes, packing in a ton of fun, laughter and tongue-in-cheek humour that is synonymous with her and her actor mother, Neena Gupta.",To Be Determined
Dark Net,2016,2017,English,30.0,6.3,"Advancements in technology have made it possible for us to connect in the most astonishing ways. A documentary series that explores the furthest reaches of the internet and the people who frequent it, Dark Net provides a revealing and cautionary look inside a vast cyber netherworld rarely witnessed by most of us. Provocative, thought-provoking and frequently profound, each episode illuminates an exciting, ever-expanding frontier where people can do anything and see anything, whether they should or not.",Ended
Fabulous Lives of Bollywood Wives,2020,,Hindi,38.0,,"Cameras follow the banter and bonding between four fun-loving women from Bollywood's inner circle as they juggle professions, family and friendship.",Running
Molang,2016,2021,,13.0,5.2,"Whether they're flying to the moon or merely watering the vegetable patch, Molang (an enthusiastic rabbit) and Piu Piu (a friendly little chick) always have fun!",Ended
Terrace House: Tokyo 2019-2020,2019,2020,Japanese,47.0,,"Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them.",Ended
Ben X Jim,2020,2021,Tagalog,36.0,,"Set in the time of pandemic, this is the story of Ben, a 23-year-old graduating student, and Jim, a 24-year-old self-made car shop owner, who were childhood friends and next door neighbors. Ben hid his true feelings for Jim, and it became a dilemma for him when he learns that Jim is returning home after being gone for years, to stay for the ECQ.Jim discovers Ben's real sexuality. Though there are still remnants of what they were as friends, it is evident that much has changed between them.  Will this be the end for them? Or will truth set them free and give them chance at happiness?",Ended
Love and Fortune,2018,2018,Japanese,24.0,,"Frustrated by life with her boyfriend, thirty-something Wako can't stop herself from being interested in high schooler Yumeaki, despite their age gap.",Ended
City of Ghosts,2021,,English,19.0,,In City of Ghosts - a hybrid documentary and animated series - a group of kids discover stories around their city by communicating directly with the ghosts who inhabit it.,To Be Determined
Lost Tapes,2008,2010,English,20.0,,"Even in the modern age reports of human encounters with mysterious and often dangerous beasts continue to surface. Lost Tapes is a first person, immersive experience of encounters with bizarre animals that science is reluctant to recognize - in our waters, in our woods, and in our skies - they live among us - you will believe.",Ended
21 Thunder,2017,2017,English,60.0,7.6,"In the cutthroat world of pro soccer, a club lives and dies by the stars on its under-21 team. They are the future and lifeblood of any franchise, but most will never make it. 21 Thunder is the story of the Montreal Thunder U21 team, following the team's star players on and off the field. A story of love, crime, race, sex and athletic glory, at its core the series is about how a group of players and coaches unite as family in the whirlwind of life, one step away from the pros.",Ended
Shirobako,2014,2015,Japanese,30.0,7.2,"Back in high school, five friends were in the animation club together. Now they each work (or are in the process of breaking into) the anime industry. One is a production assistant, one a key animator, one a 3D animator, one a voice actor, and one an aspiring script writer. But their lives are far more hectic than the days they spent making anime together as students.",Ended
Maoyuu Maou Yuusha,2013,2013,Japanese,25.0,3.8,The demons and humans are at war. Fighting on the frontlines is a well known hero who has proven himself many times. One day the hero decides to leave his companions behind and head directly to the demon king's castle. What the hero did not know was that the demon king was waiting for him and had a proposition for him that could change the world.,Ended
Dogs in Space,2021,,English,22.0,7.6,"In the not-so-distant future, Earth's scientists send a fleet of genetically enhanced dogs to explore the galaxy in search of a new planet to call home.",To Be Determined
1994,2019,2019,Italian,50.0,,"After the breakdown of the old government, and with it the First Republic, Italy changed for good in 1994. Spinster Leo is all too aware of this. He pushed hard to see Berlusconi get elected Prime Minister. He knows it's not easy to win power, but holding on to it verges on the impossible. By the same token, it seems equally impossible for populist politician Pietro to change. Even now that he has an office at the Prime Minister's premises in Rome, he still can't cast off his old bad habits. Nor can he forget the only woman he has ever loved. A former TV starlet now turned politician and Congresswoman, Veronica has to decide who the man of her life is going to be. She has realized she no longer wants to be just a woman on the arm of powerful men. It is the start of her own push for power.",Ended
Sing On!,2020,2020,English,36.0,,"In this fun, fast-paced music contest hosted by Tituss Burgess, players sing their hearts out and try to hit the right notes to win up to $60,000.",Ended
Inspector Gadget,2015,2018,English,11.0,6.6,"Inspector Gadget, the world's favorite bumbling detective, is back in this all-new animated series that also sees the return of his nemesis, the evil Dr. Claw. With his nephew Talon by his side, Dr. Claw has reactivated his global crime syndicate M.A.D. and has his sights on taking over the world, unless Gadget, his niece Penny and her dog Brain can stop him -- again.",Ended
Polly Pocket,2018,,English,15.0,4.7,"Polly is often told she is too little to do the things she wants to do, but Polly proves what every kid knows, that being little isn't a limitation.",Running
Booba: Food Puzzle,,,,,,,
Liu Xing Huan Jian,2021,,Chinese,8.0,,,Running
"Three Wives, One Husband",2017,2017,English,60.0,,"Rockland Ranch is a community unlike any other. In the middle of the Utah desert 14 fundamentalist Mormon families have made a unique home for themselves, a safe haven where they are free to practise a way of life that's met with both fascination and suspicion. Living in contemporary 'cave' houses that have been carved into the side of an enormous sandstone rock, half of the men here are polygamists, with multiple wives. With unprecedented access to this unique community, this series offers an intimate and revealing insight into the everyday lives of modern polygamous families. With narratives as rich as any drama, the series explores how the families navigate both the practical and emotional challenges of plural marriage and examines the values and beliefs that lie behind it.",Ended
Sintonia,2019,2025,Portuguese,47.0,4.0,"Told through three different characters' perspectives, the story of Sintonia explores the interconnection of the music, drug traffic, and religion in São Paulo. In the quest to be somebody, many paths will converge.",Ended
Ossan's Love,2016,2024,Japanese,54.0,7.3,"Haruta, a 35-years-old single man, has to switch career and begins as a CA in Tenku Peach Airlines. Even though he's clumsy, he seems to be protected by the Great Captain Kurosawa. One day, he finds drawings of himself on a locker and accidentally discovers his Captain is secretly in love with him. At the same time, the co-pilot and a mechanic, who sleeps next door, confess to him too.",Ended
World of Winx,2016,2017,English,24.0,6.8,"In the World of Winx, the Winx travel all over the world searching for talent for WOW and preventing the mysterious talent thief from kidnapping them.",Ended
Bakugan: Battle Planet,2018,2023,English,22.0,4.5,Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,Ended
Inside the Criminal Mind,2018,2018,English,49.0,,Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.,Ended
How to Ruin Christmas,2020,,,50.0,6.5,Free-spirited Tumi always manages to make a mess of things. Can she make it through this holiday family reunion without ruining it completely?,To Be Determined
Twirlywoos,2015,2017,English,14.0,,"Four fruit tea-loving, birdlike characters named Great BigHoo, Toodloo, Chickedy and Chick sail away from their world to ours, seeking adventure and fun wherever they go.",Ended
Cek Toko Sebelah: The Series,,,,,,,
Toon,2016,2017,Dutch,26.0,,"Toon is a loner, a gifted composer of commercial jingles who stays far away from the glamorous entertainment business he's working in, with all of it's successful, hip people and happening events.  He rather stays at home. This all changes when his spontaneous jam session at a birthday party ends up on YouTube and goes viral. Toon is an instant hit, an internet-celebrity. This causes him to be exactly where he never wanted to be: at the center of attention.",Ended
Last Hope,2018,2018,Japanese,23.0,4.5,"The new series is set in a near-future world where the boundary between human being and AI is vague. A rapid biological evolution, similar to ""Cambrian Explosion,"" is caused by one incident. This incident turns into the genesis of a new jostle for supremacy, and the influence of the evolution goes beyond biological framework and spreads to various kinds of materials and technologies. The era of massive evolution involving diverse existences, such as human, machines, and biotechnologies, is coming. Characters fight an existential war in such a world.",Ended
Cupcake Wars,2010,2016,English,60.0,,"In Cupcake Wars the créme de la créme of the cupcake world take their skills to the next level when they return to Food Network for the sweetest competition yet in five-part special series Cupcake Champions premiering Sunday, May 13th at 8pm ET/PT. Each week, four previous Cupcake Wars winners face off in three tasty elimination challenges until only one decorator remains and wins the opportunity to showcase their cupcakes at the winning gig. For the four winners from each episode, the competition for the coveted title of Cupcake Champion and a $50,000 cash prize culminates in the finale.",Ended
H,1998,2002,French,22.0,,The lives of the carelessly incompetent medical team at a hospital in the Parisian suburbs explode in surreal humour as they go about their daily duties.,Ended
Kong: King of the Apes,2016,2018,English,26.0,7.8,"In 2050, an evil scientist is about to unleash an army of robotic dinosaurs. Now it's up to Kong and friends to fight back and save the day.",Ended
Piano no Mori,2018,2019,Japanese,28.0,,"A tranquil tale about two boys from very different upbringings. On one hand you have Kai, born as the son of a prostitute, who's been playing the abandoned piano in the forest near his home ever since he was young. And on the other you have Syuhei, practically breast-fed by the piano as the son of a family of prestigious pianists. Yet it is their common bond with the piano that eventually intertwines their paths in life.",Ended
Ang probinsyano,,,,,,,
Los herederos de la tierra,2022,,Spanish,54.0,5.3,Resourceful young Hugo Llor works to make a name for himself in 14th-century Barcelona while keeping a vow he made to the Estanyol family.,To Be Determined
